"","Season","Start.year","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Attendance","Referee","HS","AS","HST","AST","HHW","AHW","HC","AC","HF","AF","HO","AO","HY","AY","HR","AR","HBP","ABP","LBH","LBD","LBA","WHH","WHD","WHA","GBH","GBD","GBA","SYH","SYD","SYA","B365H","B365D","B365A","SBH","SBD","SBA","IWH","IWD","IWA","SOH","SOD","SOA","BWH","BWD","BWA","GBAHH","GBAHA","GBAH","SJH","SJD","SJA","VCH","VCD","VCA","Bb1X2","BbMxH","BbAvH","BbMxD","BbAvD","BbMxA","BbAvA","BbOU","BbMx.2.5","BbAv.2.5","BbMx.2.5.1","BbAv.2.5.1","BbAH","BbAHh","BbMxAHH","BbAvAHH","BbMxAHA","BbAvAHA","BSH","BSD","BSA","PSH","PSD","PSA"
"1","2000/2001",2000,"SC3","19/08/00","Albion Rvs","Elgin",1,1,"D",0,1,"A",402,"Ian Brines",20,8,7,1,0,0,11,5,12,19,8,4,2,2,0,1,20,45,2.35,3.5,2.35,2.37,3.5,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2000/2001",2000,"SC3","19/08/00","Brechin","Cowdenbeath",0,0,"D",0,0,"D",337,"Craig Thompson",13,9,6,4,2,1,4,2,18,12,1,8,2,3,0,0,20,30,2.35,3.5,2.35,2.37,3.5,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2000/2001",2000,"SC3","19/08/00","East Stirling","East Fife",2,5,"A",2,0,"H",304,"Charlie Richmond",6,7,3,4,0,0,2,0,4,6,0,0,2,2,1,0,45,20,2.6,3.5,2.2,2.5,3.5,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2000/2001",2000,"SC3","19/08/00","Hamilton","Montrose",6,0,"H",0,0,"D",426,"Alan Gemmill",13,9,8,2,0,0,4,5,10,6,7,6,0,0,0,0,0,0,1.4,4,6.5,1.44,4.33,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2000/2001",2000,"SC3","19/08/00","Peterhead","Dumbarton",2,0,"H",1,0,"H",720,"Craig Thompson",13,9,8,5,0,0,5,7,15,15,4,2,2,2,0,0,20,20,2.1,3.5,2.75,2,3.4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2000/2001",2000,"SC3","26/08/00","Albion Rvs","Dumbarton",0,1,"A",0,1,"A",343,"Eddie Mack",13,8,3,4,1,0,5,3,18,14,3,7,2,2,0,0,20,20,2.5,3.5,2.25,2.37,3.5,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2000/2001",2000,"SC3","26/08/00","Cowdenbeath","Elgin",3,1,"H",0,1,"A",354,"Steve Conroy",13,4,10,3,0,0,13,3,6,3,3,2,0,1,0,0,0,10,1.45,4,5.5,1.57,3.75,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2000/2001",2000,"SC3","26/08/00","East Stirling","Hamilton",0,0,"D",0,0,"D",435,"Calum Murray",6,10,2,6,0,1,3,11,8,15,1,8,0,0,0,0,0,0,4,3.6,1.65,4,3.6,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2000/2001",2000,"SC3","26/08/00","Montrose","East Fife",0,1,"A",0,0,"D",403,"Brian McGarry",18,10,12,5,0,0,8,4,16,16,2,2,2,2,0,0,20,20,3.5,3.5,1.8,4.5,3.75,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2000/2001",2000,"SC3","26/08/00","Peterhead","Brechin",1,2,"A",1,1,"D",548,"Ian Frickleton",13,9,5,5,0,1,15,2,9,14,2,1,3,2,1,0,55,20,2.25,3.5,2.5,2.37,3.5,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2000/2001",2000,"SC3","09/09/00","Brechin","Montrose",6,1,"H",3,0,"H",465,"Ian Brines",14,12,8,4,0,0,4,4,17,14,4,11,0,2,0,0,0,20,1.45,4,5.5,1.44,3.75,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2000/2001",2000,"SC3","09/09/00","Dumbarton","East Stirling",1,2,"A",1,2,"A",259,"Martin Doran",12,5,4,2,2,0,7,2,9,10,5,6,1,1,0,0,10,10,2.1,3.5,2.75,2.37,3.5,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2000/2001",2000,"SC3","09/09/00","East Fife","Cowdenbeath",0,2,"A",0,0,"D",735,"Craig Thompson",1,2,1,2,0,0,1,0,7,12,2,0,4,5,3,0,115,50,2.25,3.4,2.62,2.25,3.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
