Id;ScanStatus;ExistPreview;ExistReport;Time;Country;Legua;Season;Stages;EndType;Name1;HalfScore1;Score1;ExtraScore1;PenaltyScore1;Lineups1;Goals1;Assists1;Rating1;Age1;Height1;Shots1;AerialDuelSuccess1;Dribbles1;Tackles1;PredictionScore1;MissingPlayers1;TotalShots1;ShotsTarget1;PassSuccess1;AerialSuccess1;Dribbles1;Tackles1;Possession1;Total1;OpenPlay1;SetPiece1;CounterAttack1;Penalty1;OwnGoal1;Total1;Crosses1;ThroughBalls1;LongBalls1;ShortPasses1;Total1;Foul1;Unprofessional1;Dive1;Other1;Name2;HalfScore2;Score2;ExtraScore2;PenaltyScore2;Lineups2;Goals2;Assists2;Rating2;Age2;Height2;Shots2;AerialDuelSuccess2;Dribbles2;Tackles2;PredictionScore2;MissingPlayers2;TotalShots2;ShotsTarget2;PassSuccess2;AerialSuccess2;Dribbles2;Tackles2;Possession2;Total2;OpenPlay2;SetPiece2;CounterAttack2;Penalty2;OwnGoal2;Total2;Crosses2;ThroughBalls2;LongBalls2;ShortPasses2;Total2;Foul2;Unprofessional2;Dive2;Other2
830397;OK;True;True;28.02.2015 15:00:00;England;Championship;2014/2015;;FT;Bournemouth;0;0;;;4-4-2;64;51;7.2;27.6;180.7;1.4;56;0.6;1.2;2;;15;5;78;53;8;13;58;15;11;4;0;0;0;508;32;7;68;401;1;1;0;0;0;Blackburn;0;0;;;4-4-2;44;26;7;26;181.9;1.4;58;0.4;1.4;1;6.53:6.42;8;1;64;47;11;17;42;8;4;4;0;0;0;364;18;1;92;253;0;0;0;0;0
830376;OK;True;True;03.03.2015 19:45:00;England;Championship;2014/2015;;FT;Bournemouth;1;2;;;4-4-2;64;51;7.2;27.6;180.7;1.4;56;0.6;1.2;2;;12;4;73;53;7;17;53;12;10;1;0;1;0;508;25;4;78;401;4;2;0;0;2;Wolves;1;1;;;4-2-3-1;40;33;7.1;25.3;182.8;1.2;50;0.6;1.3;2;6.72;5;2;66;47;15;12;47;5;4;1;0;0;0;459;14;2;96;347;1;1;0;0;0
830378;OK;True;True;06.03.2015 19:45:00;England;Championship;2014/2015;;FT;Fulham;0;1;;;4-4-2;24;16;6.9;25.4;182.8;1.2;53;0.6;1.4;2;7.2;19;3;70;57;9;25;42;19;15;4;0;0;0;383;18;2;78;285;2;1;0;0;1;Bournemouth;2;5;;;4-4-2;64;51;7.2;27.6;180.7;1.4;56;0.6;1.2;2;;24;11;79;43;12;16;58;24;20;4;0;0;0;518;19;0;77;422;0;0;0;0;0
830413;OK;True;True;14.03.2015 15:00:00;England;Championship;2014/2015;;FT;Bournemouth;3;4;;;4-4-2;65;47;7.2;27.1;180.6;1.4;55;0.6;1.2;4;;15;7;82;55;11;13;65;15;9;5;0;1;0;594;13;4;72;505;2;1;0;0;1;Blackpool;0;0;;;4-4-1-1;7;8;6.6;22.5;178.3;1.1;47;0.6;1.4;1;;9;0;64;45;5;14;35;9;5;4;0;0;0;318;14;0;80;224;2;2;0;0;0
830431;OK;True;True;17.03.2015 19:45:00;England;Championship;2014/2015;;FT;Cardiff;0;1;;;4-4-2;22;18;6.9;25.2;182.8;1;55;0.5;1.5;1;6.92:6.17:6.53:6.83:6.62;17;6;59;49;5;19;34;17;7;10;0;0;0;286;20;1;70;195;2;1;0;0;1;Bournemouth;1;1;;;4-4-2;65;47;7.2;27.1;180.6;1.4;55;0.6;1.2;2;;21;2;82;51;12;12;66;20;15;5;0;0;0;564;14;0;65;485;2;0;0;0;2
830184;OK;True;True;21.03.2015 12:15:00;England;Championship;2014/2015;;FT;Bournemouth;1;3;;;4-4-2;65;47;7.2;27.1;180.6;1.4;55;0.6;1.2;2;;17;7;72;67;16;14;46;17;12;3;0;2;0;403;17;3;62;321;1;1;0;0;0;Middlesbrough;0;0;;;4-4-1-1;44;28;6.9;26;182.6;1.1;46;0.4;1.5;2;6.55:7.15;3;0;79;33;12;12;54;3;2;1;0;0;0;464;25;0;85;354;2;2;0;0;0
830317;OK;True;True;10.02.2015 19:45:00;England;Championship;2014/2015;;FT;Bournemouth;2;2;;;4-4-2;64;51;7.2;27.6;180.7;1.4;56;0.6;1.2;2;;12;4;77;50;6;20;54;12;9;3;0;0;0;509;14;0;78;417;0;0;0;0;0;Derby;1;2;;;4-3-3;40;29;7.1;25.4;182.2;1.3;53;0.6;1.3;2;7.32:6.93;14;6;74;50;6;18;46;14;13;1;0;0;0;429;22;2;59;346;1;1;0;0;0
830300;OK;True;True;14.02.2015 15:00:00;England;Championship;2014/2015;;FT;Bournemouth;1;1;;;4-4-2;64;51;7.2;27.6;180.7;1.4;56;0.6;1.2;2;;20;7;88;56;13;13;68;20;14;6;0;0;0;663;28;3;58;574;1;1;0;0;0;Huddersfield;0;1;;;4-3-3;30;25;6.8;24.9;180.6;1.1;51;0.5;1.5;0;;8;3;71;44;13;18;32;8;8;0;0;0;0;316;10;0;77;229;0;0;0;0;0
830268;OK;True;True;20.01.2015 19:45:00;England;Championship;2014/2015;;FT;Leeds;1;1;;;4-3-1-2;33;12;6.9;23.7;182.3;1;47;0.5;1.5;0;;12;4;65;48;9;18;39;12;11;1;0;0;0;372;22;0;90;260;3;2;0;0;1;Bournemouth;0;0;;;4-4-2;65;47;7.2;27.1;180.6;1.4;55;0.6;1.2;2;;17;3;80;52;6;14;61;17;13;2;1;1;0;591;21;1;83;486;1;1;0;0;0
830269;OK;True;True;07.02.2015 15:00:00;England;Championship;2014/2015;;FT;Wigan;0;1;;;4-4-1-1;15;11;6.6;27.5;179.7;0.9;48;0.7;1.4;0;;13;3;65;45;4;21;38;13;7;6;0;0;0;341;17;0;80;244;3;3;0;0;0;Bournemouth;2;3;;;4-4-2;64;51;7.2;27.6;180.7;1.4;56;0.6;1.2;2;;10;4;81;55;11;12;62;10;8;2;0;0;0;551;7;1;86;457;2;1;0;0;1
